CATEGORY,CATEGORY OF SHAREHOLDER,NOS. OF SHAREHOLDERS,NO. OF FULLY PAID UP EQUITY SHARES HELD,NO. OF PARTLY PAID UP EQUITY SHARES HELD,NO. OF SHARES UNDERLYING DEPOSITORY RECIEPTS,TOTAL NOS. SHARES HELD,"SHAREHOLDING AS A % OF TOTAL NO. OF SHARES (CALCULATED AS PER SCRR, 1957) AS A % OF (A+B+C2)",NUMBER OF VOTING RIGHTS HELD IN EACH CLASS OF SECURITIES,,,,NO. OF SHARES UNDERLYING OUTSTANDING CONVERTIBLE SECURITIES (INCLUDING WARRANTS),"SHAREHOLDING , AS A % ASSUMING FULL CONVERSION OF CONVERTIBLE SECURITIES ( AS A PERCENTAGE OF DILUTED SHARE CAPITAL) AS A % OF (A+B+C2)",NUMBER OF LOCKED IN SHARES,,NUMBER OF SHARES PLEDGED OR OTHERWISE ENCUMBERED,,NUMBER OF EQUITY SHARES HELD IN DEMATERIALIZED FORM,SUB-CATEGORIZATION OF SHARES,,
(I),(II),(III),(IV),(V),(VI),(VII) = (IV)+(V)+ (VI),(VIII),(IX),,,,(X),(XI) = (VII)+(X),(XII),,(XIII),,(XIV),(XV),,
,,,,,,,,NO OF VOTING RIGHTS,,,TOTAL AS A % OF (A+B+C),,,NO,AS A % OF TOTAL SHARES HELD,NO,AS A % OF TOTAL SHARES HELD,,SHAREHOLDING (NO. OF SHARES) UNDER,,
,,,,,,,,CLASS X,CLASS Y,TOTAL,,,,(A),(B),(A),(B),,SUBCATEGORY (I),SUBCATEGORY (II),SUBCATEGORY (III)
1,Institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Mutual Funds/,22,"12,22,78,126",-,-,"12,22,78,126",13.61,"12,22,78,126",-,"12,22,78,126",13.61,-,13.61,-,-,-,-,"12,22,78,126",-,-,-
,MIRAE ASSET TAX SAVER FUND,1,"3,72,10,272",-,-,"3,72,10,272",4.14,"3,72,10,272",-,"3,72,10,272",4.14,-,4.14,-,-,-,-,"3,72,10,272",-,-,-
,PPFAS MUTUAL FUND - PARAG PARIKH FLEXI CAP FUND,1,"4,50,84,795",-,-,"4,50,84,795",5.02,"4,50,84,795",-,"4,50,84,795",5.02,-,5.02,-,-,-,-,"4,50,84,795",-,-,-
b,Venture Capital Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Alternate Investment Funds,14,"70,36,125",-,-,"70,36,125",0.78,"70,36,125",-,"70,36,125",0.78,-,0.78,-,-,-,-,"70,36,125",-,-,-
d,Foreign Venture Capital Investors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Foreign Portfolio Investors,291,"24,32,34,692",-,-,"24,32,34,692",27.07,"24,32,34,692",-,"24,32,34,692",27.07,-,27.07,-,-,-,-,"24,32,34,692",-,-,-
,"SMALLCAP WORLD FUND, INC",1,"1,50,00,000",-,-,"1,50,00,000",1.67,"1,50,00,000",-,"1,50,00,000",1.67,-,1.67,-,-,-,-,"1,50,00,000",-,-,-
,WF ASIAN RECONNAISSANCE FUND LIMITED,1,"2,21,06,058",-,-,"2,21,06,058",2.46,"2,21,06,058",-,"2,21,06,058",2.46,-,2.46,-,-,-,-,"2,21,06,058",-,-,-
,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1,"1,23,50,000",-,-,"1,23,50,000",1.37,"1,23,50,000",-,"1,23,50,000",1.37,-,1.37,-,-,-,-,"1,23,50,000",-,-,-
,BAILLIE GIFFORD PACIFIC FUND A SUB FUND OF BAILLIE,1,"1,20,96,033",-,-,"1,20,96,033",1.35,"1,20,96,033",-,"1,20,96,033",1.35,-,1.35,-,-,-,-,"1,20,96,033",-,-,-
,AQUAMARINE MASTER FUND L.P,1,"1,32,00,000",-,-,"1,32,00,000",1.47,"1,32,00,000",-,"1,32,00,000",1.47,-,1.47,-,-,-,-,"1,32,00,000",-,-,-
f,Financial Institutions/ Banks,2,"23,70,270",-,-,"23,70,270",0.26,"23,70,270",-,"23,70,270",0.26,-,0.26,-,-,-,-,"23,70,270",-,-,-
g,Insurance Companies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
h,Provident Funds/ Pension Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
i,Any Other (specify),6,"4,34,40,341",-,-,"4,34,40,341",4.83,"4,34,40,341",-,"4,34,40,341",4.83,-,4.83,-,-,-,-,"4,34,40,341",-,-,-
,Other,6,"4,34,40,341",-,-,"4,34,40,341",4.83,"4,34,40,341",-,"4,34,40,341",4.83,-,4.83,-,-,-,-,"4,34,40,341",-,-,-
,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,1,"1,37,22,012",-,-,"1,37,22,012",1.53,"1,37,22,012",-,"1,37,22,012",1.53,-,1.53,-,-,-,-,"1,37,22,012",-,-,-
,LIFE INSURANCE CORPORATION OF INDIA,1,"2,29,15,284",-,-,"2,29,15,284",2.55,"2,29,15,284",-,"2,29,15,284",2.55,-,2.55,-,-,-,-,"2,29,15,284",-,-,-
,Sub-Total (B)(1),335,"41,83,59,554",-,-,"41,83,59,554",46.55,"41,83,59,554",-,"41,83,59,554",46.55,-,46.55,-,-,-,-,"41,83,59,554",-,-,-
2,Central Government/ State Government(s)/ President of India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub-Total (B)(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Non-institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Individuals -,"14,58,845","29,69,03,267",-,-,"29,69,03,267",33.04,"29,69,03,267",-,"29,69,03,267",33.04,-,33.04,-,-,-,-,"29,62,93,593",-,-,-
i,Individual shareholders holding nominal share capital up to Rs. 2 lakhs.,"14,58,815","28,45,22,222",-,-,"28,45,22,222",31.66,"28,45,22,222",-,"28,45,22,222",31.66,-,31.66,-,-,-,-,"28,43,62,548",-,-,-
ii,Individual shareholders holding nominal share capital in excess of Rs. 2 lakhs.,30,"1,23,81,045",-,-,"1,23,81,045",1.38,"1,23,81,045",-,"1,23,81,045",1.38,-,1.38,-,-,-,-,"1,19,31,045",-,-,-
b,NBFCs registered with RBI,4,"70,750",-,-,"70,750",0.01,"70,750",-,"70,750",0.01,-,0.01,-,-,-,-,"70,750",-,-,-
c,Employee Trusts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,Overseas Depositories (holding DRs) (balancing figure),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Any Other (specify),"14,201","18,06,90,652",-,-,"18,06,90,652",20.11,"18,06,90,652",-,"18,06,90,652",20.11,-,20.11,-,-,-,-,"18,06,89,452",-,-,-
,Bodies Corporate,"2,088","16,02,78,358",-,-,"16,02,78,358",17.84,"16,02,78,358",-,"16,02,78,358",17.84,-,17.84,-,-,-,-,"16,02,78,358",-,-,-
,DALMIA CEMENT (BHARAT) LIMITED,1,"3,71,99,532",-,-,"3,71,99,532",4.14,"3,71,99,532",-,"3,71,99,532",4.14,-,4.14,-,-,-,-,"3,71,99,532",-,-,-
,DALMIA POWER LIMITED,1,"3,33,10,083",-,-,"3,33,10,083",3.71,"3,33,10,083",-,"3,33,10,083",3.71,-,3.71,-,-,-,-,"3,33,10,083",-,-,-
,DPVL VENTURES LLP,1,"6,25,87,206",-,-,"6,25,87,206",6.96,"6,25,87,206",-,"6,25,87,206",6.96,-,6.96,-,-,-,-,"6,25,87,206",-,-,-
,Clearing Members,180,"28,51,849",-,-,"28,51,849",0.32,"28,51,849",-,"28,51,849",0.32,-,0.32,-,-,-,-,"28,51,849",-,-,-
,Foreign Nationals,2,371,-,-,371,-,371,-,371,-,-,-,-,-,-,-,371,-,-,-
,Non-Resident Indian (NRI),"8,131","75,69,829",-,-,"75,69,829",0.84,"75,69,829",-,"75,69,829",0.84,-,0.84,-,-,-,-,"75,68,629",-,-,-
,Others,1,"63,00,000",-,-,"63,00,000",0.7,"63,00,000",-,"63,00,000",0.7,-,0.7,-,-,-,-,"63,00,000",-,-,-
,Others,"3,772","33,64,618",-,-,"33,64,618",0.37,"33,64,618",-,"33,64,618",0.37,-,0.37,-,-,-,-,"33,64,618",-,-,-
,Trusts,27,"3,25,627",-,-,"3,25,627",0.04,"3,25,627",-,"3,25,627",0.04,-,0.04,-,-,-,-,"3,25,627",-,-,-
,Sub-Total (B)(3),"14,73,050","47,76,64,669",-,-,"47,76,64,669",53.15,"47,76,64,669",-,"47,76,64,669",53.15,-,53.15,-,-,-,-,"47,70,53,795",-,-,-
,Total Public Shareholding (B)= (B)(1)+(B)(2)+(B)(3),"14,73,385","89,60,24,223",-,-,"89,60,24,223",99.71,"89,60,24,223",-,"89,60,24,223",99.71,-,99.71,-,-,-,-,"89,54,13,349",-,-,-
