CATEGORY,CATEGORY OF SHAREHOLDER,NOS. OF SHAREHOLDERS,NO. OF FULLY PAID UP EQUITY SHARES HELD,NO. OF PARTLY PAID UP EQUITY SHARES HELD,NO. OF SHARES UNDERLYING DEPOSITORY RECIEPTS,TOTAL NOS. SHARES HELD,"SHAREHOLDING AS A % OF TOTAL NO. OF SHARES (CALCULATED AS PER SCRR, 1957) AS A % OF (A+B+C2)",NUMBER OF VOTING RIGHTS HELD IN EACH CLASS OF SECURITIES,,,,NO. OF SHARES UNDERLYING OUTSTANDING CONVERTIBLE SECURITIES (INCLUDING WARRANTS),"SHAREHOLDING , AS A % ASSUMING FULL CONVERSION OF CONVERTIBLE SECURITIES ( AS A PERCENTAGE OF DILUTED SHARE CAPITAL) AS A % OF (A+B+C2)",NUMBER OF LOCKED IN SHARES,,NUMBER OF SHARES PLEDGED OR OTHERWISE ENCUMBERED,,NUMBER OF EQUITY SHARES HELD IN DEMATERIALIZED FORM,SUB-CATEGORIZATION OF SHARES,,
(I),(II),(III),(IV),(V),(VI),(VII) = (IV)+(V)+ (VI),(VIII),(IX),,,,(X),(XI) = (VII)+(X),(XII),,(XIII),,(XIV),(XV),,
,,,,,,,,NO OF VOTING RIGHTS,,,TOTAL AS A % OF (A+B+C),,,NO,AS A % OF TOTAL SHARES HELD,NO,AS A % OF TOTAL SHARES HELD,,SHAREHOLDING (NO. OF SHARES) UNDER,,
,,,,,,,,CLASS X,CLASS Y,TOTAL,,,,(A),(B),(A),(B),,SUBCATEGORY (I),SUBCATEGORY (II),SUBCATEGORY (III)
1,Institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Mutual Funds/,13,"4,43,25,381",-,-,"4,43,25,381",14.8,"4,43,25,381",-,"4,43,25,381",14.86,-,14.8,-,-,-,-,"4,43,25,381",-,-,-
,RELIANCE CAPITAL TRUSTEE CO LTD-A/C NIPPON INDIA CAPITAL BUILDER FUND IV - SERIES C,1,"1,47,83,610",-,-,"1,47,83,610",4.94,"1,47,83,610",-,"1,47,83,610",4.95,-,4.94,-,-,-,-,"1,47,83,610",-,-,-
,UTI-MASTERSHARE UNIT SCHEME,1,"43,72,891",-,-,"43,72,891",1.46,"43,72,891",-,"43,72,891",1.47,-,1.46,-,-,-,-,"43,72,891",-,-,-
,MIRAE ASSET TAX SAVER FUND,1,"2,22,79,563",-,-,"2,22,79,563",7.44,"2,22,79,563",-,"2,22,79,563",7.47,-,7.44,-,-,-,-,"2,22,79,563",-,-,-
b,Venture Capital Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Alternate Investment Funds,15,"2,18,28,495",-,-,"2,18,28,495",7.29,"2,18,28,495",-,"2,18,28,495",7.32,-,7.29,-,-,-,-,"2,18,28,495",-,-,-
,IIFL SPECIAL OPPORTUNITIES FUND,1,"48,35,667",-,-,"48,35,667",1.61,"48,35,667",-,"48,35,667",1.62,-,1.61,-,-,-,-,"48,35,667",-,-,-
,IIFL SPECIAL OPPORTUNITIES FUND - SERIES 4,1,"33,56,036",-,-,"33,56,036",1.12,"33,56,036",-,"33,56,036",1.12,-,1.12,-,-,-,-,"33,56,036",-,-,-
,VANTAGE EQUITY FUND,1,"39,79,643",-,-,"39,79,643",1.33,"39,79,643",-,"39,79,643",1.33,-,1.33,-,-,-,-,"39,79,643",-,-,-
d,Foreign Venture Capital Investors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Foreign Portfolio Investors,107,"9,36,01,333",-,-,"9,36,01,333",31.25,"9,36,01,333",-,"9,36,01,333",31.37,-,31.25,-,-,-,-,"9,36,01,333",-,-,-
,AMERICAN FUNDS INSURANCE SERIES GLOBAL SMALL CAPIT,1,"31,50,000",-,-,"31,50,000",1.05,"31,50,000",-,"31,50,000",1.06,-,1.05,-,-,-,-,"31,50,000",-,-,-
,FIDELITY INVESTMENT TRUST - FIDELITY EMERGINGMARKE,1,"62,85,600",-,-,"62,85,600",2.1,"62,85,600",-,"62,85,600",2.11,-,2.1,-,-,-,-,"62,85,600",-,-,-
,"SMALLCAP WORLD FUND, INC",1,"1,41,90,655",-,-,"1,41,90,655",4.74,"1,41,90,655",-,"1,41,90,655",4.76,-,4.74,-,-,-,-,"1,41,90,655",-,-,-
,WF ASIAN RECONNAISSANCE FUND LIMITED,1,"1,48,27,600",-,-,"1,48,27,600",4.95,"1,48,27,600",-,"1,48,27,600",4.97,-,4.95,-,-,-,-,"1,48,27,600",-,-,-
,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1,"61,58,000",-,-,"61,58,000",2.06,"61,58,000",-,"61,58,000",2.06,-,2.06,-,-,-,-,"61,58,000",-,-,-
,EASTSPRING INVESTMENTS INDIA EQUITY OPEN LIMITED,1,"44,91,164",-,-,"44,91,164",1.5,"44,91,164",-,"44,91,164",1.51,-,1.5,-,-,-,-,"44,91,164",-,-,-
,AQUAMARINE MASTER FUND L.P,1,"44,00,000",-,-,"44,00,000",1.47,"44,00,000",-,"44,00,000",1.47,-,1.47,-,-,-,-,"44,00,000",-,-,-
f,Financial Institutions/ Banks,2,"31,846",-,-,"31,846",0.01,"31,846",-,"31,846",0.01,-,0.01,-,-,-,-,"31,846",-,-,-
g,Insurance Companies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
h,Provident Funds/ Pension Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
i,Any Other (specify),8,"3,49,81,257",-,-,"3,49,81,257",11.68,"3,49,81,257",-,"3,49,81,257",11.72,-,11.68,-,-,-,-,"3,49,81,257",-,-,-
,Other,6,"1,40,63,075",-,-,"1,40,63,075",4.69,"1,40,63,075",-,"1,40,63,075",4.71,-,4.69,-,-,-,-,"1,40,63,075",-,-,-
,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,1,"54,07,588",-,-,"54,07,588",1.81,"54,07,588",-,"54,07,588",1.81,-,1.81,-,-,-,-,"54,07,588",-,-,-
,SBI LIFE INSURANCE CO. LTD,1,"61,47,349",-,-,"61,47,349",2.05,"61,47,349",-,"61,47,349",2.06,-,2.05,-,-,-,-,"61,47,349",-,-,-
,Overseas Corporate Bodies,2,"2,09,18,182",-,-,"2,09,18,182",6.98,"2,09,18,182",-,"2,09,18,182",7.01,-,6.98,-,-,-,-,"2,09,18,182",-,-,-
,INDIA BUSINESS EXCELLENCE FUND IIA,1,"72,82,432",-,-,"72,82,432",2.43,"72,82,432",-,"72,82,432",2.44,-,2.43,-,-,-,-,"72,82,432",-,-,-
,RIMCO (MAURITIUS) LIMITED,1,"1,36,35,750",-,-,"1,36,35,750",4.55,"1,36,35,750",-,"1,36,35,750",4.57,-,4.55,-,-,-,-,"1,36,35,750",-,-,-
,Sub-Total (B)(1),145,"19,47,68,312",-,-,"19,47,68,312",65.03,"19,47,68,312",-,"19,47,68,312",65.28,-,65.03,-,-,-,-,"19,47,68,312",-,-,-
2,Central Government/ State Government(s)/ President of India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub-Total (B)(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Non-institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Individuals -,"70,122","2,11,51,050",-,-,"2,11,51,050",7.06,"2,11,51,050",-,"2,11,51,050",7.08,-,7.06,-,-,-,-,"2,09,51,540",-,-,-
i,Individual shareholders holding nominal share capital up to Rs. 2 lakhs.,"70,120","2,05,73,269",-,-,"2,05,73,269",6.87,"2,05,73,269",-,"2,05,73,269",6.89,-,6.87,-,-,-,-,"2,03,73,759",-,-,-
ii,Individual shareholders holding nominal share capital in excess of Rs. 2 lakhs.,2,"5,77,781",-,-,"5,77,781",0.19,"5,77,781",-,"5,77,781",0.19,-,0.19,-,-,-,-,"5,77,781",-,-,-
b,NBFCs registered with RBI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Employee Trusts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,Overseas Depositories (holding DRs) (balancing figure),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Any Other (specify),"1,440","8,24,63,079",-,-,"8,24,63,079",27.53,"8,24,63,079",-,"8,24,63,079",27.64,-,27.53,-,-,-,-,"8,24,63,079",-,-,-
,Other,1,"25,36,190",-,-,"25,36,190",0.85,"25,36,190",-,"25,36,190",0.85,-,0.85,-,-,-,-,"25,36,190",-,-,-
,Trusts,3,"39,29,200",-,-,"39,29,200",1.31,"39,29,200",-,"39,29,200",1.32,-,1.31,-,-,-,-,"39,29,200",-,-,-
,ILFS TRUST COMPANY LTD TRUSTEE OF BUSINESS EXCELLE,1,"39,18,078",-,-,"39,18,078",1.31,"39,18,078",-,"39,18,078",1.31,-,1.31,-,-,-,-,"39,18,078",-,-,-
,Non-Resident Indian (NRI),606,"10,41,368",-,-,"10,41,368",0.35,"10,41,368",-,"10,41,368",0.35,-,0.35,-,-,-,-,"10,41,368",-,-,-
,Clearing member,100,"4,04,386",-,-,"4,04,386",0.13,"4,04,386",-,"4,04,386",0.14,-,0.13,-,-,-,-,"4,04,386",-,-,-
,Other,397,"4,73,463",-,-,"4,73,463",0.16,"4,73,463",-,"4,73,463",0.16,-,0.16,-,-,-,-,"4,73,463",-,-,-
