CATEGORY,CATEGORY OF SHAREHOLDER,NOS. OF SHAREHOLDERS,NO. OF FULLY PAID UP EQUITY SHARES HELD,NO. OF PARTLY PAID UP EQUITY SHARES HELD,NO. OF SHARES UNDERLYING DEPOSITORY RECIEPTS,TOTAL NOS. SHARES HELD,"SHAREHOLDING AS A % OF TOTAL NO. OF SHARES (CALCULATED AS PER SCRR, 1957) AS A % OF (A+B+C2)",NUMBER OF VOTING RIGHTS HELD IN EACH CLASS OF SECURITIES,,,,NO. OF SHARES UNDERLYING OUTSTANDING CONVERTIBLE SECURITIES (INCLUDING WARRANTS),"SHAREHOLDING , AS A % ASSUMING FULL CONVERSION OF CONVERTIBLE SECURITIES ( AS A PERCENTAGE OF DILUTED SHARE CAPITAL) AS A % OF (A+B+C2)",NUMBER OF LOCKED IN SHARES,,NUMBER OF SHARES PLEDGED OR OTHERWISE ENCUMBERED,,NUMBER OF EQUITY SHARES HELD IN DEMATERIALIZED FORM,SUB-CATEGORIZATION OF SHARES,,
(I),(II),(III),(IV),(V),(VI),(VII) = (IV)+(V)+ (VI),(VIII),(IX),,,,(X),(XI) = (VII)+(X),(XII),,(XIII),,(XIV),(XV),,
,,,,,,,,NO OF VOTING RIGHTS,,,TOTAL AS A % OF (A+B+C),,,NO,AS A % OF TOTAL SHARES HELD,NO,AS A % OF TOTAL SHARES HELD,,SHAREHOLDING (NO. OF SHARES) UNDER,,
,,,,,,,,CLASS X,CLASS Y,TOTAL,,,,(A),(B),(A),(B),,SUBCATEGORY (I),SUBCATEGORY (II),SUBCATEGORY (III)
,Institutions (Domestic),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mutual Funds,23,"15,90,10,869",-,-,"15,90,10,869",17.69,"15,90,10,869",-,"15,90,10,869",17.69,-,17.69,-,-,-,-,"15,90,10,869",-,-,-
,MIRAE ASSET LARGE CAP FUND,1,"7,37,01,219",-,-,"7,37,01,219",8.2,"7,37,01,219",-,"7,37,01,219",8.2,-,8.2,-,-,-,-,"7,37,01,219",-,-,-
,PARAG PARIKH FLEXI CAP FUND,1,"4,50,84,795",-,-,"4,50,84,795",5.02,"4,50,84,795",-,"4,50,84,795",5.02,-,5.02,-,-,-,-,"4,50,84,795",-,-,-
,Venture Capital Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Alternate Investment Funds,9,"70,63,339",-,-,"70,63,339",0.79,"70,63,339",-,"70,63,339",0.79,-,0.79,-,-,-,-,"70,63,339",-,-,-
,Banks,2,"82,370",-,-,"82,370",0.01,"82,370",-,"82,370",0.01,-,0.01,-,-,-,-,"82,370",-,-,-
,Insurance Companies,8,"3,50,54,119",-,-,"3,50,54,119",3.9,"3,50,54,119",-,"3,50,54,119",3.9,-,3.9,-,-,-,-,"3,50,54,119",-,-,-
,LIFE INSURANCE CORPORATION OF INDIA,1,"2,04,15,284",-,-,"2,04,15,284",2.27,"2,04,15,284",-,"2,04,15,284",2.27,-,2.27,-,-,-,-,"2,04,15,284",-,-,-
,Provident Funds/ Pension Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asset reconstruction companies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sovereign Wealth Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,NBFCs registered with RBI,3,"68,000",-,-,"68,000",0.01,"68,000",-,"68,000",0.01,-,0.01,-,-,-,-,"68,000",-,-,-
,Other Financial Institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Any Other (specify),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub-Total (B)(1),45,"20,12,78,697",-,-,"20,12,78,697",22.4,"20,12,78,697",-,"20,12,78,697",22.4,-,22.4,-,-,-,-,"20,12,78,697",-,-,-
,Institutions (Foreign),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foreign Direct Investment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foreign Venture Capital Investors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sovereign Wealth Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Foreign Portfolio Investors Category I,203,"14,18,77,160",-,-,"14,18,77,160",15.79,"14,18,77,160",-,"14,18,77,160",15.79,-,15.79,-,-,-,-,"14,18,77,160",-,-,-
,AQUAMARINE MASTER FUND L.P,1,"1,32,00,000",-,-,"1,32,00,000",1.47,"1,32,00,000",-,"1,32,00,000",1.47,-,1.47,-,-,-,-,"1,32,00,000",-,-,-
,Foreign Portfolio Investors Category II,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Overseas Depositories (holding DRs) (balancing figure),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Any Other (specify),2,"10,731",-,-,"10,731",-,"10,731",-,"10,731",-,-,-,-,-,-,-,"10,731",-,-,-
,Other,2,"10,731",-,-,"10,731",-,"10,731",-,"10,731",-,-,-,-,-,-,-,"10,731",-,-,-
,Sub-Total (B)(2),205,"14,18,87,891",-,-,"14,18,87,891",15.79,"14,18,87,891",-,"14,18,87,891",15.79,-,15.79,-,-,-,-,"14,18,87,891",-,-,-
,Central Government / State Government(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Central Government / President of India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,State Government / Governor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Shareholding by Companies or Bodies Corporate where Central / State Government is a promoter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub-Total (B)(3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Non-institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Associate companies / Subsidiaries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Directors and their relatives (excluding independent directors and nominee directors),3,"13,600",-,-,"13,600",-,"13,600",-,"13,600",-,-,-,-,-,-,-,"13,600",-,-,-
,Key Managerial Personnel,1,"4,27,334",-,-,"4,27,334",0.05,"4,27,334",-,"4,27,334",0.05,-,0.05,-,-,-,-,"4,27,334",-,-,-
,"Relatives of promoters (other than ""Immediate Relatives"" of promoters disclosed under ""Promoter and Promoter Group"" category)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,"Trusts where any person belonging to ""Promoter and Promoter Group"" category is ""trustee"", ""beneficiary"", or ""author of the trust""",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Investor Education and Protection Fund (IEPF),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Resident Individuals holding nominal share capital up to Rs. 2 lakhs,"16,83,743","35,59,98,281",-,-,"35,59,98,281",39.61,"35,59,98,281",-,"35,59,98,281",39.61,-,39.61,-,-,-,-,"35,58,40,453",-,-,-
,Resident Individuals holding nominal share capital in excess of Rs. 2 lakhs,19,"1,33,29,823",-,-,"1,33,29,823",1.48,"1,33,29,823",-,"1,33,29,823",1.48,-,1.48,-,-,-,-,"1,28,79,823",-,-,-
,Non Resident Indians (NRIs),"13,842","1,24,99,299",-,-,"1,24,99,299",1.39,"1,24,99,299",-,"1,24,99,299",1.39,-,1.39,-,-,-,-,"1,24,99,299",-,-,-
,Foreign Nationals,2,"1,371",-,-,"1,371",-,"1,371",-,"1,371",-,-,-,-,-,-,-,"1,371",-,-,-
,Foreign Companies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Bodies Corporate,"2,362","15,95,51,792",-,-,"15,95,51,792",17.75,"15,95,51,792",-,"15,95,51,792",17.75,-,17.75,-,-,-,-,"15,95,51,792",-,-,-
,DALMIA CEMENT (BHARAT) LIMITED,1,"3,71,99,532",-,-,"3,71,99,532",4.14,"3,71,99,532",-,"3,71,99,532",4.14,-,4.14,-,-,-,-,"3,71,99,532",-,-,-
,DALMIA POWER LIMITED,1,"3,33,10,083",-,-,"3,33,10,083",3.71,"3,33,10,083",-,"3,33,10,083",3.71,-,3.71,-,-,-,-,"3,33,10,083",-,-,-
,DPVL VENTURES LLP,1,"6,25,87,206",-,-,"6,25,87,206",6.96,"6,25,87,206",-,"6,25,87,206",6.96,-,6.96,-,-,-,-,"6,25,87,206",-,-,-
,Any Other (specify),"13,690","1,12,16,135",-,-,"1,12,16,135",1.25,"1,12,16,135",-,"1,12,16,135",1.25,-,1.25,-,-,-,-,"1,12,15,767",-,-,-
,Clearing Members,171,"18,47,052",-,-,"18,47,052",0.21,"18,47,052",-,"18,47,052",0.21,-,0.21,-,-,-,-,"18,47,052",-,-,-
,HUF,"13,489","91,17,373",-,-,"91,17,373",1.01,"91,17,373",-,"91,17,373",1.01,-,1.01,-,-,-,-,"91,17,005",-,-,-
,Trusts,30,"2,51,710",-,-,"2,51,710",0.03,"2,51,710",-,"2,51,710",0.03,-,0.03,-,-,-,-,"2,51,710",-,-,-
,Sub-Total (B)(4),"17,13,662","55,30,37,635",-,-,"55,30,37,635",61.54,"55,30,37,635",-,"55,30,37,635",61.54,-,61.54,-,-,-,-,"55,24,29,439",-,-,-
