CATEGORY,CATEGORY OF SHAREHOLDER,NOS. OF SHAREHOLDERS,NO. OF FULLY PAID UP EQUITY SHARES HELD,NO. OF PARTLY PAID UP EQUITY SHARES HELD,NO. OF SHARES UNDERLYING DEPOSITORY RECIEPTS,TOTAL NOS. SHARES HELD,"SHAREHOLDING AS A % OF TOTAL NO. OF SHARES (CALCULATED AS PER SCRR, 1957) AS A % OF (A+B+C2)",NUMBER OF VOTING RIGHTS HELD IN EACH CLASS OF SECURITIES,,,,NO. OF SHARES UNDERLYING OUTSTANDING CONVERTIBLE SECURITIES (INCLUDING WARRANTS),"SHAREHOLDING , AS A % ASSUMING FULL CONVERSION OF CONVERTIBLE SECURITIES ( AS A PERCENTAGE OF DILUTED SHARE CAPITAL) AS A % OF (A+B+C2)",NUMBER OF LOCKED IN SHARES,,NUMBER OF SHARES PLEDGED OR OTHERWISE ENCUMBERED,,NUMBER OF EQUITY SHARES HELD IN DEMATERIALIZED FORM,SUB-CATEGORIZATION OF SHARES,,
(I),(II),(III),(IV),(V),(VI),(VII) = (IV)+(V)+ (VI),(VIII),(IX),,,,(X),(XI) = (VII)+(X),(XII),,(XIII),,(XIV),(XV),,
,,,,,,,,NO OF VOTING RIGHTS,,,TOTAL AS A % OF (A+B+C),,,NO,AS A % OF TOTAL SHARES HELD,NO,AS A % OF TOTAL SHARES HELD,,SHAREHOLDING (NO. OF SHARES) UNDER,,
,,,,,,,,CLASS X,CLASS Y,TOTAL,,,,(A),(B),(A),(B),,SUBCATEGORY (I),SUBCATEGORY (II),SUBCATEGORY (III)
1,Institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Mutual Funds/,16,"5,99,05,248",-,-,"5,99,05,248",20,"5,99,05,248",-,"5,99,05,248",20,-,20,-,-,-,-,"5,99,05,248",-,-,-
,NIPPON LIFE INDIA TRUSTEE LTD-A/C NIPPON POWER & INFRA FUND,1,"1,59,03,260",-,-,"1,59,03,260",5.31,"1,59,03,260",-,"1,59,03,260",5.31,-,5.31,-,-,-,-,"1,59,03,260",-,-,-
,UTI-MASTERSHARE UNIT SCHEME,1,"40,93,891",-,-,"40,93,891",1.37,"40,93,891",-,"40,93,891",1.37,-,1.37,-,-,-,-,"40,93,891",-,-,-
,MIRAE ASSET LARGE CAP FUND,1,"2,14,64,055",-,-,"2,14,64,055",7.17,"2,14,64,055",-,"2,14,64,055",7.17,-,7.17,-,-,-,-,"2,14,64,055",-,-,-
,PPFAS MUTUAL FUND - PARAG PARIKH LONG TERM EQUITY FUND,1,"1,42,63,115",-,-,"1,42,63,115",4.76,"1,42,63,115",-,"1,42,63,115",4.76,-,4.76,-,-,-,-,"1,42,63,115",-,-,-
b,Venture Capital Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Alternate Investment Funds,14,"1,53,40,745",-,-,"1,53,40,745",5.12,"1,53,40,745",-,"1,53,40,745",5.12,-,5.12,-,-,-,-,"1,53,40,745",-,-,-
,IIFL INDIA PRIVATE EQUITY FUND - SERIES 1A,1,"40,90,000",-,-,"40,90,000",1.37,"40,90,000",-,"40,90,000",1.37,-,1.37,-,-,-,-,"40,90,000",-,-,-
,VANTAGE EQUITY FUND,1,"46,42,000",-,-,"46,42,000",1.55,"46,42,000",-,"46,42,000",1.55,-,1.55,-,-,-,-,"46,42,000",-,-,-
d,Foreign Venture Capital Investors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Foreign Portfolio Investors,107,"8,87,28,174",-,-,"8,87,28,174",29.62,"8,87,28,174",-,"8,87,28,174",29.62,-,29.62,-,-,-,-,"8,87,28,174",-,-,-
,AMERICAN FUNDS INSURANCE SERIES GLOBAL SMALL CAPIT,1,"31,50,000",-,-,"31,50,000",1.05,"31,50,000",-,"31,50,000",1.05,-,1.05,-,-,-,-,"31,50,000",-,-,-
,FIDELITY INVESTMENT TRUST FIDELITY SERIES INTERNAT,1,"30,06,200",-,-,"30,06,200",1,"30,06,200",-,"30,06,200",1,-,1,-,-,-,-,"30,06,200",-,-,-
,"SMALLCAP WORLD FUND, INC",1,"1,41,90,655",-,-,"1,41,90,655",4.74,"1,41,90,655",-,"1,41,90,655",4.74,-,4.74,-,-,-,-,"1,41,90,655",-,-,-
,WF ASIAN RECONNAISSANCE FUND LIMITED,1,"1,48,27,600",-,-,"1,48,27,600",4.95,"1,48,27,600",-,"1,48,27,600",4.95,-,4.95,-,-,-,-,"1,48,27,600",-,-,-
,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1,"61,58,000",-,-,"61,58,000",2.06,"61,58,000",-,"61,58,000",2.06,-,2.06,-,-,-,-,"61,58,000",-,-,-
,EASTSPRING INVESTMENTS INDIA EQUITY OPEN LIMITED,1,"38,69,099",-,-,"38,69,099",1.29,"38,69,099",-,"38,69,099",1.29,-,1.29,-,-,-,-,"38,69,099",-,-,-
,BAILLIE GIFFORD PACIFIC FUND A SUB FUND OF BAILLIE,1,"41,09,184",-,-,"41,09,184",1.37,"41,09,184",-,"41,09,184",1.37,-,1.37,-,-,-,-,"41,09,184",-,-,-
,AQUAMARINE MASTER FUND L.P,1,"44,00,000",-,-,"44,00,000",1.47,"44,00,000",-,"44,00,000",1.47,-,1.47,-,-,-,-,"44,00,000",-,-,-
f,Financial Institutions/ Banks,2,"8,390",-,-,"8,390",-,"8,390",-,"8,390",-,-,-,-,-,-,-,"8,390",-,-,-
g,Insurance Companies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
h,Provident Funds/ Pension Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
i,Any Other (specify),8,"3,44,48,385",-,-,"3,44,48,385",11.5,"3,44,48,385",-,"3,44,48,385",11.5,-,11.5,-,-,-,-,"3,44,48,385",-,-,-
,Other,2,"1,63,39,080",-,-,"1,63,39,080",5.45,"1,63,39,080",-,"1,63,39,080",5.45,-,5.45,-,-,-,-,"1,63,39,080",-,-,-
,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,1,"1,01,91,731",-,-,"1,01,91,731",3.4,"1,01,91,731",-,"1,01,91,731",3.4,-,3.4,-,-,-,-,"1,01,91,731",-,-,-
,SBI LIFE INSURANCE CO. LTD,1,"61,47,349",-,-,"61,47,349",2.05,"61,47,349",-,"61,47,349",2.05,-,2.05,-,-,-,-,"61,47,349",-,-,-
,Overseas Corporate Bodies,2,"1,78,74,783",-,-,"1,78,74,783",5.97,"1,78,74,783",-,"1,78,74,783",5.97,-,5.97,-,-,-,-,"1,78,74,783",-,-,-
,INDIA BUSINESS EXCELLENCE FUND IIA,1,"42,39,033",-,-,"42,39,033",1.42,"42,39,033",-,"42,39,033",1.42,-,1.42,-,-,-,-,"42,39,033",-,-,-
,RIMCO (MAURITIUS) LIMITED,1,"1,36,35,750",-,-,"1,36,35,750",4.55,"1,36,35,750",-,"1,36,35,750",4.55,-,4.55,-,-,-,-,"1,36,35,750",-,-,-
,Sub-Total (B)(1),147,"19,84,30,942",-,-,"19,84,30,942",66.24,"19,84,30,942",-,"19,84,30,942",66.24,-,66.24,-,-,-,-,"19,84,30,942",-,-,-
2,Central Government/ State Government(s)/ President of India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub-Total (B)(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Non-institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Individuals -,"90,627","2,71,25,244",-,-,"2,71,25,244",9.05,"2,71,25,244",-,"2,71,25,244",9.05,-,9.05,-,-,-,-,"2,69,25,734",-,-,-
i,Individual shareholders holding nominal share capital up to Rs. 2 lakhs.,"90,626","2,67,94,721",-,-,"2,67,94,721",8.94,"2,67,94,721",-,"2,67,94,721",8.94,-,8.94,-,-,-,-,"2,65,95,211",-,-,-
ii,Individual shareholders holding nominal share capital in excess of Rs. 2 lakhs.,1,"3,30,523",-,-,"3,30,523",0.11,"3,30,523",-,"3,30,523",0.11,-,0.11,-,-,-,-,"3,30,523",-,-,-
b,NBFCs registered with RBI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Employee Trusts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,Overseas Depositories (holding DRs) (balancing figure),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Any Other (specify),"2,286","7,29,01,255",-,-,"7,29,01,255",24.34,"7,29,01,255",-,"7,29,01,255",24.34,-,24.34,-,-,-,-,"7,29,01,255",-,-,-
,Bodies Corporate,3,"5,99,06,556",-,-,"5,99,06,556",20,"5,99,06,556",-,"5,99,06,556",20,-,20,-,-,-,-,"5,99,06,556",-,-,-
,DALMIA CEMENT (BHARAT) LIMITED,1,"1,23,99,844",-,-,"1,23,99,844",4.14,"1,23,99,844",-,"1,23,99,844",4.14,-,4.14,-,-,-,-,"1,23,99,844",-,-,-
,DALMIA POWER LIMITED,1,"2,45,03,361",-,-,"2,45,03,361",8.18,"2,45,03,361",-,"2,45,03,361",8.18,-,8.18,-,-,-,-,"2,45,03,361",-,-,-
,DPVL VENTURES LLP,1,"2,30,03,351",-,-,"2,30,03,351",7.68,"2,30,03,351",-,"2,30,03,351",7.68,-,7.68,-,-,-,-,"2,30,03,351",-,-,-
