,,,,,,,,,,,,,,,,,,,,,
CATEGORY,CATEGORY OF SHAREHOLDER,NOS. OF SHAREHOLDERS,NO. OF FULLY PAID UP EQUITY SHARES HELD,NO. OF PARTLY PAID UP EQUITY SHARES HELD,NO. OF SHARES UNDERLYING DEPOSITORY RECIEPTS,TOTAL NOS. SHARES HELD,"SHAREHOLDING AS A % OF TOTAL NO. OF SHARES (CALCULATED AS PER SCRR, 1957) AS A % OF (A+B+C2)",NUMBER OF VOTING RIGHTS HELD IN EACH CLASS OF SECURITIES,,,,NO. OF SHARES UNDERLYING OUTSTANDING CONVERTIBLE SECURITIES (INCLUDING WARRANTS),"SHAREHOLDING , AS A % ASSUMING FULL CONVERSION OF CONVERTIBLE SECURITIES ( AS A PERCENTAGE OF DILUTED SHARE CAPITAL) AS A % OF (A+B+C2)",NUMBER OF LOCKED IN SHARES,,NUMBER OF SHARES PLEDGED OR OTHERWISE ENCUMBERED,,NUMBER OF EQUITY SHARES HELD IN DEMATERIALIZED FORM,SUB-CATEGORIZATION OF SHARES,,
(I),(II),(III),(IV),(V),(VI),(VII) = (IV)+(V)+ (VI),(VIII),(IX),,,,(X),(XI) = (VII)+(X),(XII),,(XIII),,(XIV),(XV),,
,,,,,,,,NO OF VOTING RIGHTS,,,TOTAL AS A % OF (A+B+C),,,NO,AS A % OF TOTAL SHARES HELD,NO,AS A % OF TOTAL SHARES HELD,,SHAREHOLDING (NO. OF SHARES) UNDER,,
,,,,,,,,CLASS X,CLASS Y,TOTAL,,,,(A),(B),(A),(B),,SUBCATEGORY (I),SUBCATEGORY (II),SUBCATEGORY (III)
1,Institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Mutual Funds/,46,"14,32,77,696",-,-,"14,32,77,696",4.48,"14,32,77,696",-,"14,32,77,696",4.48,-,4.48,-,-,-,-,"14,31,69,836",-,-,-
b,Venture Capital Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Alternate Investment Funds,13,"41,48,547",-,-,"41,48,547",0.13,"41,48,547",-,"41,48,547",0.13,-,0.13,-,-,-,-,"41,48,547",-,-,-
d,Foreign Venture Capital Investors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Foreign Portfolio Investors,351,"34,63,06,715",-,-,"34,63,06,715",10.84,"34,63,06,715",-,"34,63,06,715",10.84,-,10.84,-,-,-,-,"34,62,90,915",-,-,-
,Matthews Pacific Tiger Fund,1,"3,81,91,262",-,-,"3,81,91,262",1.2,"3,81,91,262",-,"3,81,91,262",1.2,-,1.2,-,-,-,-,"3,81,91,262",-,-,-
f,Financial Institutions/ Banks,75,"14,07,345",-,-,"14,07,345",0.04,"14,07,345",-,"14,07,345",0.04,-,0.04,-,-,-,-,"9,85,223",-,-,-
g,Insurance Companies,30,"34,61,41,145",-,-,"34,61,41,145",10.83,"34,61,41,145",-,"34,61,41,145",10.83,-,10.83,-,-,-,-,"34,61,26,045",-,-,-
,Life Insurance Corporation of India,1,"20,87,44,029",-,-,"20,87,44,029",6.53,"20,87,44,029",-,"20,87,44,029",6.53,-,6.53,-,-,-,-,"20,87,30,929",-,-,-
,HDFC Life Insurance Company Limited,1,"3,98,34,469",-,-,"3,98,34,469",1.25,"3,98,34,469",-,"3,98,34,469",1.25,-,1.25,-,-,-,-,"3,98,34,469",-,-,-
,General Insurance Corporation of India,1,"3,63,70,100",-,-,"3,63,70,100",1.14,"3,63,70,100",-,"3,63,70,100",1.14,-,1.14,-,-,-,-,"3,63,70,100",-,-,-
h,Provident Funds/ Pension Funds,1,"28,07,716",-,-,"28,07,716",0.09,"28,07,716",-,"28,07,716",0.09,-,0.09,-,-,-,-,"28,07,716",-,-,-
i,Any Other (specify),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub-Total (B)(1),516,"84,40,89,164",-,-,"84,40,89,164",26.42,"84,40,89,164",-,"84,40,89,164",26.42,-,26.42,-,-,-,-,"84,35,28,282",-,-,-
2,Central Government/ State Government(s)/ President of India,9,"1,01,53,913",-,-,"1,01,53,913",0.32,"1,01,53,913",-,"1,01,53,913",0.32,-,0.32,-,-,-,-,"99,06,793",-,-,-
,Sub-Total (B)(2),9,"1,01,53,913",-,-,"1,01,53,913",0.32,"1,01,53,913",-,"1,01,53,913",0.32,-,0.32,-,-,-,-,"99,06,793",-,-,-
3,Non-institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Individuals -,"31,26,119","73,94,24,411",-,-,"73,94,24,411",23.14,"73,94,24,411",-,"73,94,24,411",23.14,-,23.14,-,-,-,-,"71,01,28,042",-,-,-
i,Individual shareholders holding nominal share capital up to Rs. 2 lakhs.,"31,26,056","71,52,01,592",-,-,"71,52,01,592",22.38,"71,52,01,592",-,"71,52,01,592",22.38,-,22.38,-,-,-,-,"68,67,62,623",-,-,-
ii,Individual shareholders holding nominal share capital in excess of Rs. 2 lakhs.,63,"2,42,22,819",-,-,"2,42,22,819",0.76,"2,42,22,819",-,"2,42,22,819",0.76,-,0.76,-,-,-,-,"2,33,65,419",-,-,-
b,NBFCs registered with RBI,11,"88,570",-,-,"88,570",-,"88,570",-,"88,570",-,-,-,-,-,-,-,"88,570",-,-,-
c,Employee Trusts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,Overseas Depositories (holding DRs) (balancing figure),4,"3,60,300",-,-,"3,60,300",0.01,"3,60,300",-,"3,60,300",0.01,-,0.01,-,-,-,-,"3,59,000",-,-,-
e,Any Other (specify),"38,469","10,39,65,624",-,-,"10,39,65,624",3.25,"10,39,65,624",-,"10,39,65,624",3.25,-,3.25,-,-,-,-,"9,77,38,566",-,-,-
,Bodies Corporate,"2,802","2,97,28,380",-,-,"2,97,28,380",0.93,"2,97,28,380",-,"2,97,28,380",0.93,-,0.93,-,-,-,-,"2,87,94,620",-,-,-
,Clearing Members,249,"58,77,957",-,-,"58,77,957",0.18,"58,77,957",-,"58,77,957",0.18,-,0.18,-,-,-,-,"58,77,957",-,-,-
,Director or Director's Relatives,2,"7,16,262",-,-,"7,16,262",0.02,"7,16,262",-,"7,16,262",0.02,-,0.02,-,-,-,-,"7,16,262",-,-,-
,HUF,"15,307","1,62,42,220",-,-,"1,62,42,220",0.51,"1,62,42,220",-,"1,62,42,220",0.51,-,0.51,-,-,-,-,"1,62,26,742",-,-,-
,IEPF,1,"95,71,223",-,-,"95,71,223",0.3,"95,71,223",-,"95,71,223",0.3,-,0.3,-,-,-,-,"95,71,223",-,-,-
,LLP,229,"13,53,180",-,-,"13,53,180",0.04,"13,53,180",-,"13,53,180",0.04,-,0.04,-,-,-,-,"13,53,180",-,-,-
,Non-Resident Indian (NRI),"19,809","3,90,57,045",-,-,"3,90,57,045",1.22,"3,90,57,045",-,"3,90,57,045",1.22,-,1.22,-,-,-,-,"3,37,82,465",-,-,-
,Others,1,"3,65,990",-,-,"3,65,990",0.01,"3,65,990",-,"3,65,990",0.01,-,0.01,-,-,-,-,"3,65,990",-,-,-
,Overseas Corporate Bodies,1,"4,000",-,-,"4,000",-,"4,000",-,"4,000",-,-,-,-,-,-,-,"4,000",-,-,-
,Trusts,68,"10,49,367",-,-,"10,49,367",0.03,"10,49,367",-,"10,49,367",0.03,-,0.03,-,-,-,-,"10,46,127",-,-,-
,Sub-Total (B)(3),"31,64,603","84,38,38,905",-,-,"84,38,38,905",26.41,"84,38,38,905",-,"84,38,38,905",26.41,-,26.41,-,-,-,-,"80,83,14,178",-,-,-
,Total Public Shareholding (B)= (B)(1)+(B)(2)+(B)(3),"31,65,128","1,69,80,81,982",-,-,"1,69,80,81,982",,,,,,,,,,,,,,,
