CATEGORY,CATEGORY OF SHAREHOLDER,NOS. OF SHAREHOLDERS,NO. OF FULLY PAID UP EQUITY SHARES HELD,NO. OF PARTLY PAID UP EQUITY SHARES HELD,NO. OF SHARES UNDERLYING DEPOSITORY RECIEPTS,TOTAL NOS. SHARES HELD,"SHAREHOLDING AS A % OF TOTAL NO. OF SHARES (CALCULATED AS PER SCRR, 1957) AS A % OF (A+B+C2)",NUMBER OF VOTING RIGHTS HELD IN EACH CLASS OF SECURITIES,,,,NO. OF SHARES UNDERLYING OUTSTANDING CONVERTIBLE SECURITIES (INCLUDING WARRANTS),"SHAREHOLDING , AS A % ASSUMING FULL CONVERSION OF CONVERTIBLE SECURITIES ( AS A PERCENTAGE OF DILUTED SHARE CAPITAL) AS A % OF (A+B+C2)",NUMBER OF LOCKED IN SHARES,,NUMBER OF SHARES PLEDGED OR OTHERWISE ENCUMBERED,,NUMBER OF EQUITY SHARES HELD IN DEMATERIALIZED FORM,SUB-CATEGORIZATION OF SHARES,,
(I),(II),(III),(IV),(V),(VI),(VII) = (IV)+(V)+ (VI),(VIII),(IX),,,,(X),(XI) = (VII)+(X),(XII),,(XIII),,(XIV),(XV),,
,,,,,,,,NO OF VOTING RIGHTS,,,TOTAL AS A % OF (A+B+C),,,NO,AS A % OF TOTAL SHARES HELD,NO,AS A % OF TOTAL SHARES HELD,,SHAREHOLDING (NO. OF SHARES) UNDER,,
,,,,,,,,CLASS X,CLASS Y,TOTAL,,,,(A),(B),(A),(B),,SUBCATEGORY (I),SUBCATEGORY (II),SUBCATEGORY (III)
1,Institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Mutual Funds/,19,"11,25,96,501",-,-,"11,25,96,501",12.53,"11,25,96,501",-,"11,25,96,501",12.53,-,12.53,-,-,-,-,"11,25,96,501",-,-,-
,MIRAE ASSET TAX SAVER FUND,1,"4,03,50,705",-,-,"4,03,50,705",4.49,"4,03,50,705",-,"4,03,50,705",4.49,-,4.49,-,-,-,-,"4,03,50,705",-,-,-
,PPFAS MUTUAL FUND - PARAG PARIKH FLEXI CAP FUND,1,"4,50,84,795",-,-,"4,50,84,795",5.02,"4,50,84,795",-,"4,50,84,795",5.02,-,5.02,-,-,-,-,"4,50,84,795",-,-,-
b,Venture Capital Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Alternate Investment Funds,14,"90,54,618",-,-,"90,54,618",1.01,"90,54,618",-,"90,54,618",1.01,-,1.01,-,-,-,-,"90,54,618",-,-,-
d,Foreign Venture Capital Investors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Foreign Portfolio Investors,282,"28,86,94,977",-,-,"28,86,94,977",32.12,"28,86,94,977",-,"28,86,94,977",32.12,-,32.12,-,-,-,-,"28,86,94,977",-,-,-
,FIDELITY INVESTMENT TRUST FIDELITY SERIES INTERNAT,1,"90,35,208",-,-,"90,35,208",1.01,"90,35,208",-,"90,35,208",1.01,-,1.01,-,-,-,-,"90,35,208",-,-,-
,"SMALLCAP WORLD FUND, INC",1,"1,80,00,000",-,-,"1,80,00,000",2,"1,80,00,000",-,"1,80,00,000",2,-,2,-,-,-,-,"1,80,00,000",-,-,-
,WF ASIAN RECONNAISSANCE FUND LIMITED,1,"2,87,09,502",-,-,"2,87,09,502",3.19,"2,87,09,502",-,"2,87,09,502",3.19,-,3.19,-,-,-,-,"2,87,09,502",-,-,-
,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1,"1,50,00,000",-,-,"1,50,00,000",1.67,"1,50,00,000",-,"1,50,00,000",1.67,-,1.67,-,-,-,-,"1,50,00,000",-,-,-
,BAILLIE GIFFORD PACIFIC FUND A SUB FUND OF BAILLIE,1,"1,27,80,042",-,-,"1,27,80,042",1.42,"1,27,80,042",-,"1,27,80,042",1.42,-,1.42,-,-,-,-,"1,27,80,042",-,-,-
,AQUAMARINE MASTER FUND L.P,1,"1,32,00,000",-,-,"1,32,00,000",1.47,"1,32,00,000",-,"1,32,00,000",1.47,-,1.47,-,-,-,-,"1,32,00,000",-,-,-
f,Financial Institutions/ Banks,2,"5,10,270",-,-,"5,10,270",0.06,"5,10,270",-,"5,10,270",0.06,-,0.06,-,-,-,-,"5,10,270",-,-,-
g,Insurance Companies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
h,Provident Funds/ Pension Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
i,Any Other (specify),8,"3,82,33,956",-,-,"3,82,33,956",4.25,"3,82,33,956",-,"3,82,33,956",4.25,-,4.25,-,-,-,-,"3,82,33,956",-,-,-
,Other,6,"3,82,32,669",-,-,"3,82,32,669",4.25,"3,82,32,669",-,"3,82,32,669",4.25,-,4.25,-,-,-,-,"3,82,32,669",-,-,-
,Other,2,"1,287",-,-,"1,287",-,"1,287",-,"1,287",-,-,-,-,-,-,-,"1,287",-,-,-
,LIFE INSURANCE CORPORATION OF INDIA,1,"2,29,15,284",-,-,"2,29,15,284",2.55,"2,29,15,284",-,"2,29,15,284",2.55,-,2.55,-,-,-,-,"2,29,15,284",-,-,-
,Sub-Total (B)(1),325,"44,90,90,322",-,-,"44,90,90,322",49.97,"44,90,90,322",-,"44,90,90,322",49.97,-,49.97,-,-,-,-,"44,90,90,322",-,-,-
2,Central Government/ State Government(s)/ President of India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub-Total (B)(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Non-institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Individuals -,"9,28,172","25,30,60,155",-,-,"25,30,60,155",28.16,"25,30,60,155",-,"25,30,60,155",28.16,-,28.16,-,-,-,-,"25,24,54,455",-,-,-
i,Individual shareholders holding nominal share capital up to Rs. 2 lakhs.,"9,28,132","23,79,83,490",-,-,"23,79,83,490",26.48,"23,79,83,490",-,"23,79,83,490",26.48,-,26.48,-,-,-,-,"23,78,27,790",-,-,-
ii,Individual shareholders holding nominal share capital in excess of Rs. 2 lakhs.,40,"1,50,76,665",-,-,"1,50,76,665",1.68,"1,50,76,665",-,"1,50,76,665",1.68,-,1.68,-,-,-,-,"1,46,26,665",-,-,-
b,NBFCs registered with RBI,4,"67,929",-,-,"67,929",0.01,"67,929",-,"67,929",0.01,-,0.01,-,-,-,-,"67,929",-,-,-
c,Employee Trusts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,Overseas Depositories (holding DRs) (balancing figure),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Any Other (specify),"10,892","19,36,55,817",-,-,"19,36,55,817",21.55,"19,36,55,817",-,"19,36,55,817",21.55,-,21.55,-,-,-,-,"19,36,55,817",-,-,-
,Bodies Corporate,"1,713","16,85,92,128",-,-,"16,85,92,128",18.76,"16,85,92,128",-,"16,85,92,128",18.76,-,18.76,-,-,-,-,"16,85,92,128",-,-,-
,DALMIA CEMENT (BHARAT) LIMITED,1,"3,71,99,532",-,-,"3,71,99,532",4.14,"3,71,99,532",-,"3,71,99,532",4.14,-,4.14,-,-,-,-,"3,71,99,532",-,-,-
,FUMISTIC GAMING LLP,1,"97,83,750",-,-,"97,83,750",1.09,"97,83,750",-,"97,83,750",1.09,-,1.09,-,-,-,-,"97,83,750",-,-,-
,DALMIA POWER LIMITED,1,"3,33,10,083",-,-,"3,33,10,083",3.71,"3,33,10,083",-,"3,33,10,083",3.71,-,3.71,-,-,-,-,"3,33,10,083",-,-,-
,DPVL VENTURES LLP,1,"6,25,87,206",-,-,"6,25,87,206",6.96,"6,25,87,206",-,"6,25,87,206",6.96,-,6.96,-,-,-,-,"6,25,87,206",-,-,-
,Clearing Members,182,"71,54,901",-,-,"71,54,901",0.8,"71,54,901",-,"71,54,901",0.8,-,0.8,-,-,-,-,"71,54,901",-,-,-
,Non-Resident Indian (NRI),"6,141","79,45,356",-,-,"79,45,356",0.88,"79,45,356",-,"79,45,356",0.88,-,0.88,-,-,-,-,"79,45,356",-,-,-
,Others,1,"63,00,000",-,-,"63,00,000",0.7,"63,00,000",-,"63,00,000",0.7,-,0.7,-,-,-,-,"63,00,000",-,-,-
,Others,"2,836","35,97,999",-,-,"35,97,999",0.4,"35,97,999",-,"35,97,999",0.4,-,0.4,-,-,-,-,"35,97,999",-,-,-
,Trusts,19,"65,433",-,-,"65,433",0.01,"65,433",-,"65,433",0.01,-,0.01,-,-,-,-,"65,433",-,-,-
,Sub-Total (B)(3),"9,39,068","44,67,83,901",-,-,"44,67,83,901",49.72,"44,67,83,901",-,"44,67,83,901",49.72,-,49.72,-,-,-,-,"44,61,78,201",-,-,-
,Total Public Shareholding (B)= (B)(1)+(B)(2)+(B)(3),"9,39,393","89,58,74,223",-,-,"89,58,74,223",99.69,"89,58,74,223",-,"89,58,74,223",99.69,-,99.69,-,-,-,-,"89,52,68,523",-,-,-
