CATEGORY,CATEGORY OF SHAREHOLDER,NOS. OF SHAREHOLDERS,NO. OF FULLY PAID UP EQUITY SHARES HELD,NO. OF PARTLY PAID UP EQUITY SHARES HELD,NO. OF SHARES UNDERLYING DEPOSITORY RECIEPTS,TOTAL NOS. SHARES HELD,"SHAREHOLDING AS A % OF TOTAL NO. OF SHARES (CALCULATED AS PER SCRR, 1957) AS A % OF (A+B+C2)",NUMBER OF VOTING RIGHTS HELD IN EACH CLASS OF SECURITIES,,,,NO. OF SHARES UNDERLYING OUTSTANDING CONVERTIBLE SECURITIES (INCLUDING WARRANTS),"SHAREHOLDING , AS A % ASSUMING FULL CONVERSION OF CONVERTIBLE SECURITIES ( AS A PERCENTAGE OF DILUTED SHARE CAPITAL) AS A % OF (A+B+C2)",NUMBER OF LOCKED IN SHARES,,NUMBER OF SHARES PLEDGED OR OTHERWISE ENCUMBERED,,NUMBER OF EQUITY SHARES HELD IN DEMATERIALIZED FORM,SUB-CATEGORIZATION OF SHARES,,
(I),(II),(III),(IV),(V),(VI),(VII) = (IV)+(V)+ (VI),(VIII),(IX),,,,(X),(XI) = (VII)+(X),(XII),,(XIII),,(XIV),(XV),,
,,,,,,,,NO OF VOTING RIGHTS,,,TOTAL AS A % OF (A+B+C),,,NO,AS A % OF TOTAL SHARES HELD,NO,AS A % OF TOTAL SHARES HELD,,SHAREHOLDING (NO. OF SHARES) UNDER,,
,,,,,,,,CLASS X,CLASS Y,TOTAL,,,,(A),(B),(A),(B),,SUBCATEGORY (I),SUBCATEGORY (II),SUBCATEGORY (III)
1,Institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Mutual Funds/,12,"5,45,74,573",-,-,"5,45,74,573",18.22,"5,45,74,573",-,"5,45,74,573",18.22,-,18.22,-,-,-,-,"5,45,74,573",-,-,-
,RELIANCE CAPITAL TRUSTEE CO LTD-A/C NIPPON INDIA CAPITAL BUILDER FUND IV - SERIES C,1,"1,56,78,331",-,-,"1,56,78,331",5.23,"1,56,78,331",-,"1,56,78,331",5.23,-,5.23,-,-,-,-,"1,56,78,331",-,-,-
,UTI-MASTERSHARE UNIT SCHEME,1,"43,72,891",-,-,"43,72,891",1.46,"43,72,891",-,"43,72,891",1.46,-,1.46,-,-,-,-,"43,72,891",-,-,-
,MIRAE ASSET TAX SAVER FUND,1,"2,14,64,055",-,-,"2,14,64,055",7.17,"2,14,64,055",-,"2,14,64,055",7.17,-,7.17,-,-,-,-,"2,14,64,055",-,-,-
,PPFAS MUTUAL FUND - PARAG PARIKH LONG TERM EQUITY FUND,1,"91,16,834",-,-,"91,16,834",3.04,"91,16,834",-,"91,16,834",3.04,-,3.04,-,-,-,-,"91,16,834",-,-,-
b,Venture Capital Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Alternate Investment Funds,15,"1,63,51,828",-,-,"1,63,51,828",5.46,"1,63,51,828",-,"1,63,51,828",5.46,-,5.46,-,-,-,-,"1,63,51,828",-,-,-
,VANTAGE EQUITY FUND,1,"46,42,000",-,-,"46,42,000",1.55,"46,42,000",-,"46,42,000",1.55,-,1.55,-,-,-,-,"46,42,000",-,-,-
d,Foreign Venture Capital Investors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Foreign Portfolio Investors,109,"9,05,46,354",-,-,"9,05,46,354",30.23,"9,05,46,354",-,"9,05,46,354",30.23,-,30.23,-,-,-,-,"9,05,46,354",-,-,-
,AMERICAN FUNDS INSURANCE SERIES GLOBAL SMALL CAPIT,1,"31,50,000",-,-,"31,50,000",1.05,"31,50,000",-,"31,50,000",1.05,-,1.05,-,-,-,-,"31,50,000",-,-,-
,FIDELITY INVESTMENT TRUST - FIDELITY EMERGINGMARKE,1,"62,85,600",-,-,"62,85,600",2.1,"62,85,600",-,"62,85,600",2.1,-,2.1,-,-,-,-,"62,85,600",-,-,-
,KUWAIT INVESTMENT AUTHORITY FUND 227,1,"30,51,625",-,-,"30,51,625",1.02,"30,51,625",-,"30,51,625",1.02,-,1.02,-,-,-,-,"30,51,625",-,-,-
,"SMALLCAP WORLD FUND, INC",1,"1,41,90,655",-,-,"1,41,90,655",4.74,"1,41,90,655",-,"1,41,90,655",4.74,-,4.74,-,-,-,-,"1,41,90,655",-,-,-
,WF ASIAN RECONNAISSANCE FUND LIMITED,1,"1,48,27,600",-,-,"1,48,27,600",4.95,"1,48,27,600",-,"1,48,27,600",4.95,-,4.95,-,-,-,-,"1,48,27,600",-,-,-
,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1,"61,58,000",-,-,"61,58,000",2.06,"61,58,000",-,"61,58,000",2.06,-,2.06,-,-,-,-,"61,58,000",-,-,-
,EASTSPRING INVESTMENTS INDIA EQUITY OPEN LIMITED,1,"38,69,099",-,-,"38,69,099",1.29,"38,69,099",-,"38,69,099",1.29,-,1.29,-,-,-,-,"38,69,099",-,-,-
,BAILLIE GIFFORD PACIFIC FUND A SUB FUND OF BAILLIE,1,"31,59,948",-,-,"31,59,948",1.05,"31,59,948",-,"31,59,948",1.05,-,1.05,-,-,-,-,"31,59,948",-,-,-
,AQUAMARINE MASTER FUND L.P,1,"44,00,000",-,-,"44,00,000",1.47,"44,00,000",-,"44,00,000",1.47,-,1.47,-,-,-,-,"44,00,000",-,-,-
f,Financial Institutions/ Banks,2,"8,390",-,-,"8,390",-,"8,390",-,"8,390",-,-,-,-,-,-,-,"8,390",-,-,-
g,Insurance Companies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
h,Provident Funds/ Pension Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
i,Any Other (specify),8,"3,40,89,874",-,-,"3,40,89,874",11.38,"3,40,89,874",-,"3,40,89,874",11.38,-,11.38,-,-,-,-,"3,40,89,874",-,-,-
,Other,6,"1,46,33,480",-,-,"1,46,33,480",4.89,"1,46,33,480",-,"1,46,33,480",4.89,-,4.89,-,-,-,-,"1,46,33,480",-,-,-
,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,1,"80,97,981",-,-,"80,97,981",2.7,"80,97,981",-,"80,97,981",2.7,-,2.7,-,-,-,-,"80,97,981",-,-,-
,SBI LIFE INSURANCE CO. LTD,1,"61,47,349",-,-,"61,47,349",2.05,"61,47,349",-,"61,47,349",2.05,-,2.05,-,-,-,-,"61,47,349",-,-,-
,Overseas Corporate Bodies,2,"1,94,56,394",-,-,"1,94,56,394",6.5,"1,94,56,394",-,"1,94,56,394",6.5,-,6.5,-,-,-,-,"1,94,56,394",-,-,-
,INDIA BUSINESS EXCELLENCE FUND IIA,1,"58,20,644",-,-,"58,20,644",1.94,"58,20,644",-,"58,20,644",1.94,-,1.94,-,-,-,-,"58,20,644",-,-,-
,RIMCO (MAURITIUS) LIMITED,1,"1,36,35,750",-,-,"1,36,35,750",4.55,"1,36,35,750",-,"1,36,35,750",4.55,-,4.55,-,-,-,-,"1,36,35,750",-,-,-
,Sub-Total (B)(1),146,"19,55,71,019",-,-,"19,55,71,019",65.29,"19,55,71,019",-,"19,55,71,019",65.29,-,65.29,-,-,-,-,"19,55,71,019",-,-,-
2,Central Government/ State Government(s)/ President of India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub-Total (B)(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Non-institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Individuals -,"93,436","2,81,80,127",-,-,"2,81,80,127",9.4,"2,81,80,127",-,"2,81,80,127",9.4,-,9.4,-,-,-,-,"2,79,80,617",-,-,-
i,Individual shareholders holding nominal share capital up to Rs. 2 lakhs.,"93,434","2,76,02,346",-,-,"2,76,02,346",9.21,"2,76,02,346",-,"2,76,02,346",9.21,-,9.21,-,-,-,-,"2,74,02,836",-,-,-
ii,Individual shareholders holding nominal share capital in excess of Rs. 2 lakhs.,2,"5,77,781",-,-,"5,77,781",0.19,"5,77,781",-,"5,77,781",0.19,-,0.19,-,-,-,-,"5,77,781",-,-,-
b,NBFCs registered with RBI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Employee Trusts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,Overseas Depositories (holding DRs) (balancing figure),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Any Other (specify),"2,252","7,46,31,295",-,-,"7,46,31,295",24.91,"7,46,31,295",-,"7,46,31,295",24.91,-,24.91,-,-,-,-,"7,46,31,295",-,-,-
,Bodies Corporate,423,"6,49,14,871",-,-,"6,49,14,871",21.67,"6,49,14,871",-,"6,49,14,871",21.67,-,21.67,-,-,-,-,"6,49,14,871",-,-,-
,DALMIA CEMENT (BHARAT) LIMITED,1,"1,23,99,844",-,-,"1,23,99,844",4.14,"1,23,99,844",-,"1,23,99,844",4.14,-,4.14,-,-,-,-,"1,23,99,844",-,-,-
,DALMIA POWER LIMITED,1,"2,45,03,361",-,-,"2,45,03,361",8.18,"2,45,03,361",-,"2,45,03,361",8.18,-,8.18,-,-,-,-,"2,45,03,361",-,-,-
,Clearing Members,329,"19,72,257",-,-,"19,72,257",0.66,"19,72,257",-,"19,72,257",0.66,-,0.66,-,-,-,-,"19,72,257",-,-,-
