CATEGORY,CATEGORY OF SHAREHOLDER,NOS. OF SHAREHOLDERS,NO. OF FULLY PAID UP EQUITY SHARES HELD,NO. OF PARTLY PAID UP EQUITY SHARES HELD,NO. OF SHARES UNDERLYING DEPOSITORY RECIEPTS,TOTAL NOS. SHARES HELD,"SHAREHOLDING AS A % OF TOTAL NO. OF SHARES (CALCULATED AS PER SCRR, 1957) AS A % OF (A+B+C2)",NUMBER OF VOTING RIGHTS HELD IN EACH CLASS OF SECURITIES,,,,NO. OF SHARES UNDERLYING OUTSTANDING CONVERTIBLE SECURITIES (INCLUDING WARRANTS),"SHAREHOLDING , AS A % ASSUMING FULL CONVERSION OF CONVERTIBLE SECURITIES ( AS A PERCENTAGE OF DILUTED SHARE CAPITAL) AS A % OF (A+B+C2)",NUMBER OF LOCKED IN SHARES,,NUMBER OF SHARES PLEDGED OR OTHERWISE ENCUMBERED,,NUMBER OF EQUITY SHARES HELD IN DEMATERIALIZED FORM,SUB-CATEGORIZATION OF SHARES,,
(I),(II),(III),(IV),(V),(VI),(VII) = (IV)+(V)+ (VI),(VIII),(IX),,,,(X),(XI) = (VII)+(X),(XII),,(XIII),,(XIV),(XV),,
,,,,,,,,NO OF VOTING RIGHTS,,,TOTAL AS A % OF (A+B+C),,,NO,AS A % OF TOTAL SHARES HELD,NO,AS A % OF TOTAL SHARES HELD,,SHAREHOLDING (NO. OF SHARES) UNDER,,
,,,,,,,,CLASS X,CLASS Y,TOTAL,,,,(A),(B),(A),(B),,SUBCATEGORY (I),SUBCATEGORY (II),SUBCATEGORY (III)
1,Institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Mutual Funds/,23,"4,75,01,634",-,-,"4,75,01,634",15.86,"4,75,01,634",-,"4,75,01,634",15.86,-,15.86,-,-,-,-,"4,75,01,634",-,-,-
,NIPPON LIFE INDIA TRUSTEE LTD-A/C NIPPON INDIA SMALL CAP FUND,1,"38,42,329",-,-,"38,42,329",1.28,"38,42,329",-,"38,42,329",1.28,-,1.28,-,-,-,-,"38,42,329",-,-,-
,UTI-MASTERSHARE UNIT SCHEME,1,"37,95,250",-,-,"37,95,250",1.27,"37,95,250",-,"37,95,250",1.27,-,1.27,-,-,-,-,"37,95,250",-,-,-
,MIRAE ASSET TAX SAVER FUND,1,"1,63,72,462",-,-,"1,63,72,462",5.47,"1,63,72,462",-,"1,63,72,462",5.47,-,5.47,-,-,-,-,"1,63,72,462",-,-,-
,PPFAS MUTUAL FUND - PARAG PARIKH FLEXI CAP FUND,1,"1,50,28,265",-,-,"1,50,28,265",5.02,"1,50,28,265",-,"1,50,28,265",5.02,-,5.02,-,-,-,-,"1,50,28,265",-,-,-
b,Venture Capital Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Alternate Investment Funds,15,"40,36,787",-,-,"40,36,787",1.35,"40,36,787",-,"40,36,787",1.35,-,1.35,-,-,-,-,"40,36,787",-,-,-
d,Foreign Venture Capital Investors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Foreign Portfolio Investors,248,"11,30,56,639",-,-,"11,30,56,639",37.74,"11,30,56,639",-,"11,30,56,639",37.74,-,37.74,-,-,-,-,"11,30,56,639",-,-,-
,FIDELITY INVESTMENT TRUST FIDELITY SERIES INTERNAT,1,"41,09,936",-,-,"41,09,936",1.37,"41,09,936",-,"41,09,936",1.37,-,1.37,-,-,-,-,"41,09,936",-,-,-
,INDUS INDIA FUND (MAURITIUS) LIMITED,1,"34,29,971",-,-,"34,29,971",1.15,"34,29,971",-,"34,29,971",1.15,-,1.15,-,-,-,-,"34,29,971",-,-,-
,"SMALLCAP WORLD FUND, INC",1,"1,04,68,727",-,-,"1,04,68,727",3.49,"1,04,68,727",-,"1,04,68,727",3.49,-,3.49,-,-,-,-,"1,04,68,727",-,-,-
,WF ASIAN RECONNAISSANCE FUND LIMITED,1,"1,15,83,233",-,-,"1,15,83,233",3.87,"1,15,83,233",-,"1,15,83,233",3.87,-,3.87,-,-,-,-,"1,15,83,233",-,-,-
,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1,"61,58,000",-,-,"61,58,000",2.06,"61,58,000",-,"61,58,000",2.06,-,2.06,-,-,-,-,"61,58,000",-,-,-
,BAILLIE GIFFORD PACIFIC FUND A SUB FUND OF BAILLIE,1,"50,75,518",-,-,"50,75,518",1.69,"50,75,518",-,"50,75,518",1.69,-,1.69,-,-,-,-,"50,75,518",-,-,-
,BNP PARIBAS ARBITRAGE - ODI,1,"38,61,029",-,-,"38,61,029",1.29,"38,61,029",-,"38,61,029",1.29,-,1.29,-,-,-,-,"38,61,029",-,-,-
,AQUAMARINE MASTER FUND L.P,1,"44,00,000",-,-,"44,00,000",1.47,"44,00,000",-,"44,00,000",1.47,-,1.47,-,-,-,-,"44,00,000",-,-,-
f,Financial Institutions/ Banks,2,"30,090",-,-,"30,090",0.01,"30,090",-,"30,090",0.01,-,0.01,-,-,-,-,"30,090",-,-,-
g,Insurance Companies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
h,Provident Funds/ Pension Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
i,Any Other (specify),9,"1,77,29,532",-,-,"1,77,29,532",5.92,"1,77,29,532",-,"1,77,29,532",5.92,-,5.92,-,-,-,-,"1,77,29,532",-,-,-
,Other,1,329,-,-,329,-,329,-,329,-,-,-,-,-,-,-,329,-,-,-
,Other,7,"1,45,93,453",-,-,"1,45,93,453",4.87,"1,45,93,453",-,"1,45,93,453",4.87,-,4.87,-,-,-,-,"1,45,93,453",-,-,-
,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,1,"39,13,012",-,-,"39,13,012",1.31,"39,13,012",-,"39,13,012",1.31,-,1.31,-,-,-,-,"39,13,012",-,-,-
,LIFE INSURANCE CORPORATION OF INDIA,1,"76,38,428",-,-,"76,38,428",2.55,"76,38,428",-,"76,38,428",2.55,-,2.55,-,-,-,-,"76,38,428",-,-,-
,Overseas Corporate Bodies,1,"31,35,750",-,-,"31,35,750",1.05,"31,35,750",-,"31,35,750",1.05,-,1.05,-,-,-,-,"31,35,750",-,-,-
,RIMCO (MAURITIUS) LIMITED,1,"31,35,750",-,-,"31,35,750",1.05,"31,35,750",-,"31,35,750",1.05,-,1.05,-,-,-,-,"31,35,750",-,-,-
,Sub-Total (B)(1),297,"18,23,54,682",-,-,"18,23,54,682",60.87,"18,23,54,682",-,"18,23,54,682",60.87,-,60.87,-,-,-,-,"18,23,54,682",-,-,-
2,Central Government/ State Government(s)/ President of India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub-Total (B)(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Non-institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Individuals -,"3,98,369","5,80,31,753",-,-,"5,80,31,753",19.37,"5,80,31,753",-,"5,80,31,753",19.37,-,19.37,-,-,-,-,"5,78,30,103",-,-,-
i,Individual shareholders holding nominal share capital up to Rs. 2 lakhs.,"3,98,367","5,75,48,116",-,-,"5,75,48,116",19.21,"5,75,48,116",-,"5,75,48,116",19.21,-,19.21,-,-,-,-,"5,73,46,466",-,-,-
ii,Individual shareholders holding nominal share capital in excess of Rs. 2 lakhs.,2,"4,83,637",-,-,"4,83,637",0.16,"4,83,637",-,"4,83,637",0.16,-,0.16,-,-,-,-,"4,83,637",-,-,-
b,NBFCs registered with RBI,4,"62,013",-,-,"62,013",0.02,"62,013",-,"62,013",0.02,-,0.02,-,-,-,-,"62,013",-,-,-
c,Employee Trusts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,Overseas Depositories (holding DRs) (balancing figure),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Any Other (specify),"7,543","5,81,66,293",-,-,"5,81,66,293",19.42,"5,81,66,293",-,"5,81,66,293",19.42,-,19.42,-,-,-,-,"5,81,66,293",-,-,-
,Bodies Corporate,"1,375","5,01,70,081",-,-,"5,01,70,081",16.75,"5,01,70,081",-,"5,01,70,081",16.75,-,16.75,-,-,-,-,"5,01,70,081",-,-,-
,DALMIA CEMENT (BHARAT) LIMITED,1,"1,23,99,844",-,-,"1,23,99,844",4.14,"1,23,99,844",-,"1,23,99,844",4.14,-,4.14,-,-,-,-,"1,23,99,844",-,-,-
,DALMIA POWER LIMITED,1,"1,11,03,361",-,-,"1,11,03,361",3.71,"1,11,03,361",-,"1,11,03,361",3.71,-,3.71,-,-,-,-,"1,11,03,361",-,-,-
,DPVL VENTURES LLP,1,"2,08,62,402",-,-,"2,08,62,402",6.96,"2,08,62,402",-,"2,08,62,402",6.96,-,6.96,-,-,-,-,"2,08,62,402",-,-,-
,Clearing Members,267,"18,41,014",-,-,"18,41,014",0.61,"18,41,014",-,"18,41,014",0.61,-,0.61,-,-,-,-,"18,41,014",-,-,-
,Non-Resident Indian (NRI),"3,991","26,16,310",-,-,"26,16,310",0.87,"26,16,310",-,"26,16,310",0.87,-,0.87,-,-,-,-,"26,16,310",-,-,-
,Others,1,"21,00,000",-,-,"21,00,000",0.7,"21,00,000",-,"21,00,000",0.7,-,0.7,-,-,-,-,"21,00,000",-,-,-
